"volatile.acidity","citric.acid","alcohol","pH","sulphates","quality","nivell.qualitat"
0.7,0,9.4,3.51,0.56,5,"Normal"
0.88,0,9.8,3.2,0.68,5,"Normal"
0.76,0.04,9.8,3.26,0.65,5,"Normal"
0.28,0.56,9.8,3.16,0.58,6,"Normal"
0.7,0,9.4,3.51,0.56,5,"Normal"
0.66,0,9.4,3.51,0.56,5,"Normal"
0.6,0.06,9.4,3.3,0.46,5,"Normal"
0.65,0,10,3.39,0.47,7,"Bo"
0.58,0.02,9.5,3.36,0.57,7,"Bo"
0.5,0.36,10.5,3.35,0.8,5,"Normal"
0.58,0.08,9.2,3.28,0.54,5,"Normal"
0.5,0.36,10.5,3.35,0.8,5,"Normal"
0.615,0,9.9,3.58,0.52,5,"Normal"
0.61,0.29,9.1,3.26,1.56,5,"Normal"
0.62,0.18,9.2,3.16,0.88,5,"Normal"
0.62,0.19,9.2,3.17,0.93,5,"Normal"
0.28,0.56,10.5,3.3,0.75,7,"Bo"
0.56,0.28,9.3,3.11,1.28,5,"Normal"
0.59,0.08,9,3.38,0.5,4,"Dolent"
0.32,0.51,9.2,3.04,1.08,6,"Normal"
0.22,0.48,9.4,3.39,0.53,6,"Normal"
0.39,0.31,9.7,3.52,0.65,5,"Normal"
0.43,0.21,9.5,3.17,0.91,5,"Normal"
0.49,0.11,9.4,3.17,0.53,5,"Normal"
0.4,0.14,9.7,3.43,0.63,6,"Normal"
0.39,0.16,9.3,3.34,0.56,5,"Normal"
0.41,0.24,9.5,3.28,0.59,5,"Normal"
0.43,0.21,9.5,3.17,0.91,5,"Normal"
0.71,0,9.4,3.47,0.55,5,"Normal"
0.645,0,9.8,3.38,0.59,6,"Normal"
0.675,0.07,10.1,3.35,0.54,5,"Normal"
0.685,0,10.6,3.46,0.57,6,"Normal"
0.655,0.12,9.8,3.17,0.66,5,"Normal"
0.605,0.12,9.4,3.45,0.52,6,"Normal"
0.32,0.25,9.2,3.38,0.55,5,"Normal"
0.645,0,9.6,3.4,0.55,6,"Normal"
0.6,0.14,10.8,3.42,0.6,6,"Normal"
0.38,0.28,9.7,3.23,0.73,7,"Bo"
1.13,0.09,9.8,3.5,0.48,4,"Dolent"
0.45,0.36,10.5,3.33,0.83,5,"Normal"
0.45,0.36,10.5,3.33,0.83,5,"Normal"
0.61,0.3,9.3,3.26,0.51,4,"Dolent"
0.49,0.2,10.5,3.21,0.9,6,"Normal"
0.66,0.22,10.3,3.3,1.2,5,"Normal"
0.67,0.02,9.5,3.48,0.52,5,"Normal"
0.52,0.15,13.1,3.9,0.56,4,"Dolent"
0.935,0.43,9.2,3.25,0.73,5,"Normal"
0.29,0.52,9.5,3.25,0.58,5,"Normal"
0.4,0.23,9.2,3.34,0.56,5,"Normal"
0.31,0.37,9.2,3.32,0.58,5,"Normal"
0.66,0.26,9.2,3.15,0.74,5,"Normal"
0.52,0.04,9.4,3.4,0.63,6,"Normal"
0.5,0.04,9.4,3.39,0.64,6,"Normal"
0.38,0.36,9.4,3.2,0.56,5,"Normal"
0.51,0.15,10.2,3.17,0.63,6,"Normal"
0.62,0.04,9.5,3.34,0.53,5,"Normal"
0.42,0.57,9.6,3.04,0.63,5,"Normal"
0.63,0.12,9.4,3.26,0.77,5,"Normal"
0.59,0.18,10,3.43,0.59,5,"Normal"
0.39,0.31,9.4,3.41,0.54,6,"Normal"
0.4,0.4,9.2,3.44,0.64,5,"Normal"
0.69,0.49,9.3,3.21,0.71,5,"Normal"
0.52,0.16,9.5,3.38,0.62,7,"Bo"
0.735,0.05,9.8,3.39,0.57,5,"Normal"
0.725,0.05,10.9,3.41,0.39,5,"Normal"
0.725,0.05,10.9,3.41,0.39,5,"Normal"
0.52,0.11,9.6,3.42,0.58,5,"Normal"
0.705,0.07,10.7,3.44,0.58,5,"Normal"
0.32,0.57,10.7,3.28,0.79,5,"Normal"
0.705,0.05,10.5,3.34,0.95,6,"Normal"
0.63,0.08,9.5,3.32,0.54,6,"Normal"
0.67,0.23,9.5,3.32,0.48,5,"Normal"
0.69,0.22,9.5,3.31,0.48,5,"Normal"
0.675,0.26,9.2,3.31,0.53,4,"Dolent"
0.32,0.54,9.6,3.28,0.82,5,"Normal"
0.41,0.64,10.5,3.54,0.66,5,"Normal"
0.41,0.64,10.5,3.54,0.66,5,"Normal"
0.785,0,10.7,3.52,0.55,6,"Normal"
0.75,0.12,10.1,3.38,0.52,5,"Normal"
0.625,0.2,9.1,3.16,1.12,4,"Dolent"
0.45,0.2,9.2,3.41,0.56,5,"Normal"
0.43,0.7,9.4,3.13,1.28,5,"Normal"
0.5,0.47,9.1,3.36,0.57,5,"Normal"
0.67,0.26,9.4,3.16,1.14,5,"Normal"
0.3,0.48,10.3,3.44,0.78,6,"Normal"
0.55,0.15,10.1,3.41,0.59,5,"Normal"
0.49,0.28,9.9,2.93,1.95,6,"Normal"
0.49,0.26,9.6,3.39,0.64,5,"Normal"
0.39,0.44,9.5,3.14,1.22,5,"Normal"
0.62,0.08,9,3.48,0.53,5,"Normal"
0.52,0.26,9.5,3.23,0.54,5,"Normal"
0.49,0.28,9.9,2.93,1.95,6,"Normal"
0.49,0.29,9.8,2.93,1.98,5,"Normal"
0.49,0.26,9.6,3.39,0.64,5,"Normal"
1.02,0.04,10.5,3.75,0.48,4,"Dolent"
0.6,0.17,12.9,3.85,0.6,6,"Normal"
0.775,0,10.7,3.45,0.56,5,"Normal"
0.5,0.25,9.2,3.25,0.63,5,"Normal"
0.9,0.06,9.8,3.39,0.56,5,"Normal"
0.545,0.18,9,3.3,0.59,6,"Normal"
0.61,0.3,10.2,3.4,0.61,6,"Normal"
0.5,0.3,10.4,3.31,0.56,6,"Normal"
0.545,0.18,9,3.3,0.59,6,"Normal"
0.575,0.22,9.2,3.29,0.51,5,"Normal"
0.49,0.24,9.4,3.33,0.48,5,"Normal"
0.575,0.22,9.2,3.29,0.51,5,"Normal"
0.41,0.68,9.3,3.08,1.31,5,"Normal"
0.63,0.31,9.3,3.46,0.79,5,"Normal"
0.33,0.53,9.6,3.37,0.8,6,"Normal"
0.785,0.52,9.3,3.21,0.69,5,"Normal"
0.56,0.19,9.5,3.19,0.93,5,"Normal"
0.62,0.09,9.8,3.15,0.66,5,"Normal"
0.6,0.1,9.8,3.15,0.66,5,"Normal"
0.31,0.44,9.7,3.32,0.67,6,"Normal"
0.56,0.19,9.5,3.19,0.93,5,"Normal"
0.4,0.31,10.5,3.07,0.63,6,"Normal"
0.54,0.28,10,3.39,0.61,6,"Normal"
0.56,0.12,9.4,3.37,0.5,6,"Normal"
0.55,0.04,10.9,3.21,0.6,6,"Normal"
0.69,0.08,9.2,3.34,0.54,6,"Normal"
1.07,0.09,9,3.3,0.57,5,"Normal"
0.55,0.04,10.9,3.21,0.6,6,"Normal"
0.695,0,9.2,3.49,0.52,5,"Normal"
0.71,0,9.5,3.44,0.53,5,"Normal"
0.5,0.17,9.5,3.39,0.48,5,"Normal"
0.62,0.04,9.4,3.16,0.7,5,"Normal"
1.33,0,10.9,3.53,0.49,5,"Normal"
1.33,0,10.9,3.54,0.48,5,"Normal"
0.59,0.16,10.5,3.42,0.92,7,"Bo"
0.38,0.15,9.4,3.42,0.57,5,"Normal"
0.745,0.56,9.4,3.24,0.66,5,"Normal"
0.5,0.09,13,3.63,0.63,5,"Normal"
0.5,0.09,13,3.63,0.63,5,"Normal"
0.5,0.01,9.8,3.4,0.58,6,"Normal"
1.04,0.05,9.9,3.22,0.55,6,"Normal"
0.745,0.11,9.6,3.19,0.82,5,"Normal"
0.715,0.15,9.5,3.23,0.77,5,"Normal"
0.415,0.36,9.2,3.48,0.64,5,"Normal"
0.56,0.19,9.5,3.33,0.54,5,"Normal"
0.56,0.19,9.5,3.32,0.54,5,"Normal"
0.745,0.11,9.6,3.19,0.82,5,"Normal"
0.715,0.15,9.5,3.23,0.77,5,"Normal"
0.34,0,14,3.68,0.79,6,"Normal"
0.39,0.08,9.4,3.34,0.58,5,"Normal"
0.34,0,14,3.68,0.79,6,"Normal"
